Genre_Main,topic,ChunkCount,NumChunks_in_Genre,Percentage_within_Genre,topic_label,topic_summary,top_words
Comedy,0,767,2541,30.185,0. Gender roles and social hierarchy in early modern society,Gender roles and social hierarchy in early modern society,"wife, gentlemen, gentleman, pray, woman, time, father, bee"
Comedy,7,213,2541,8.3825,7. Marriage and family relationships in early modern society,Marriage and family relationships in early modern society,"wife, husband, married, marriage, loue, bride, daughter, father"
Comedy,2,184,2541,7.2412,2. Noble courtship and aristocratic relationships,Noble courtship and aristocratic relationships,"duke, antonio, lord, dutchesse, love, court, prince, owne"
Comedy,8,129,2541,5.0767,8. Economic hardship and religious obligation in domestic settings,Economic hardship and religious obligation in domestic settings,"money, pound, poore, pay, master, house, pray, god"
Comedy,9,128,2541,5.0374,9. Romantic and familial relationships,Romantic and familial relationships,"love, maister, lady, woman, sister, loue, madam, heart"
Comedy,10,115,2541,4.5258,10. Romantic desire and courtship dynamics,Romantic desire and courtship dynamics,"loue, loues, faire, eyes, siluia, protheus, heart, deare"
Comedy,3,108,2541,4.2503,3. Classical mythology and symbolic imagery of love and value,Classical mythology and symbolic imagery of love and value,"venus, loue, cupid, pandora, siluer, gold, hand, great"
Comedy,28,76,2541,2.9909,28. Military leadership and social hierarchy in early modern society,Military leadership and social hierarchy in early modern society,"captaine, horse, house, george, maister, pray, master, doctor"
Comedy,34,68,2541,2.6761,34. Social hierarchy and religious figures in early modern drama,Social hierarchy and religious figures in early modern drama,"bacon, margret, lacie, peggie, frier, lord, lacy, fryer"
Comedy,21,67,2541,2.6368,21. Early modern theatrical production and dissemination,Early modern theatrical production and dissemination,"stage, play, printed, acted, author, read, london, written"
Comedy,23,65,2541,2.558,23. Aristocratic relationships and loyalty conflicts,Aristocratic relationships and loyalty conflicts,"duke, clarinda, loue, lord, dukes, true, father, anthonio"
Comedy,25,62,2541,2.44,25. Early modern beverage consumption and health beliefs,Early modern beverage consumption and health beliefs,"wine, beere, ale, drinke, drunke, sugar, health, cup"
Comedy,17,61,2541,2.4006,17. Romantic idealization and pastoral love imagery,Romantic idealization and pastoral love imagery,"loue, cynthia, endimion, faire, thoughts, loues, sweete, eyes"
Comedy,37,60,2541,2.3613,37. Early modern market and trade practices,Early modern market and trade practices,"numps, fayre, numpes, bartholmew, fine, buy, bread, ginger"
Comedy,41,45,2541,1.771,41. Social hierarchy and courtly relationships,Social hierarchy and courtly relationships,"lady, madam, gentleman, love, ladies, gentleuman, servant, gentlemen"
Comedy,20,44,2541,1.7316,20. Sleep and dreams in noble contexts,Sleep and dreams in noble contexts,"sleepe, bed, night, dreame, rest, day, princesse, wake"
Comedy,22,43,2541,1.6922,22. Themes of love and mortality,Themes of love and mortality,"loue, euer, life, heart, thing, heare, death, feare"
Comedy,49,41,2541,1.6135,49. Rural life and social roles in early modern England,Rural life and social roles in early modern England,"clay, squire, tub, turfe, awdrey, puppy, hun, iohn"
Comedy,31,40,2541,1.5742,31. Religious authority and divine presence in early modern drama,Religious authority and divine presence in early modern drama,"god, iacob, temple, lord, philologus, doo, lorde, gods"
Comedy,47,37,2541,1.4561,47. Early modern social identity and fashion norms,Early modern social identity and fashion norms,"signior, carlo, fashion, gentleman, hem, sogliardo, whiffe, fly"
Comedy,1,33,2541,1.2987,1. Cosmological reflections on mortality and existence,Cosmological reflections on mortality and existence,"great, death, minde, gods, earth, world, place, things"
Comedy,16,30,2541,1.1806,16. Divine justice and moral reckoning,Divine justice and moral reckoning,"payne, god, parte, gyue, thynke, eueryman, heuen, ryght"
Comedy,39,28,2541,1.1019,39. Religious devotion and noble conduct,Religious devotion and noble conduct,"heere, lord, hic, true, wit, life, pray, god"
Comedy,15,22,2541,0.8658,15. Mortality and emotional experience in early modern drama,Mortality and emotional experience in early modern drama,"death, dead, life, soule, die, teares, heart, loue"
Comedy,4,16,2541,0.6297,4. English royal and noble power dynamics,English royal and noble power dynamics,"king, lord, yorke, duke, france, henry, england, richard"
Comedy,44,16,2541,0.6297,44. Theatrical production and performance practices,Theatrical production and performance practices,"shake, stage, workes, liue, booke, went, till, dye"
Comedy,5,8,2541,0.3148,5. Roman republican leadership and virtue,Roman republican leadership and virtue,"rome, brutus, great, men, world, noble, pompey, lucius"
Comedy,33,7,2541,0.2755,33. Royal authority and judicial honor in governance,Royal authority and judicial honor in governance,"admirall, king, chabot, chancellor, lord, iudges, honour, owne"
Comedy,11,5,2541,0.1968,11. Classical Greek heroic warfare and mythology,Classical Greek heroic warfare and mythology,"hector, achilles, troy, troylus, aiax, greekes, hectors, paris"
Comedy,46,5,2541,0.1968,46. Domestic relationships and social obligations,Domestic relationships and social obligations,"wyfe, daye, father, wherfore, praye, woulde, therfore, waye"
Comedy,6,3,2541,0.1181,6. Monarchical power and Anglo-French political relations,Monarchical power and Anglo-French political relations,"king, lord, edward, france, mortimer, gaueston, england, grace"
Comedy,19,3,2541,0.1181,19. Classical mythology and royal lineage themes,Classical mythology and royal lineage themes,"greece, saturne, hercules, sonne, mother, king, death, sonnes"
Comedy,12,2,2541,0.0787,12. Monarchical authority and political conflict in governance,Monarchical authority and political conflict in governance,"feare, kings, power, state, princes, warres, lawes, mordred"
Comedy,14,2,2541,0.0787,14. Ottoman imperial conflict and conquest,Ottoman imperial conflict and conquest,"tamburlaine, baiazet, mahomet, zenocrate, tamburlain, armes, crowne, turkish"
Comedy,26,2,2541,0.0787,26. Early Modern English modal and epistemic expressions,Early Modern English modal and epistemic expressions,"ys, yt, wyth, thyng, shuld, wold, reason, wyse"
Comedy,27,2,2541,0.0787,27. Maritime travel and navigation challenges,Maritime travel and navigation challenges,"wyth, dothe, doothe, agayne, hande, seas, styll, lande"
Comedy,13,1,2541,0.0394,13. Civic ceremony and public honor in early modern London,Civic ceremony and public honor in early modern London,"london, maior, worthy, time, honor, yeare, honour, day"
Comedy,18,1,2541,0.0394,18. Religious authority and divine law,Religious authority and divine law,"god, lawe, lorde, holy, christ, soch, synne, lawes"
Comedy,24,1,2541,0.0394,24. Roman political power and republican governance,Roman political power and republican governance,"senate, caesar, consul, rome, hem, catiline, state, seianvs"
Comedy,30,1,2541,0.0394,30. Pastoral romance and courtship dynamics,Pastoral romance and courtship dynamics,"amyntas, phillis, noe, soe, stil, sweete, fro, whoe"
Comedy,29,0,2541,0.0,29. Social dynamics and manipulation in domestic settings,Social dynamics and manipulation in domestic settings,"melibea, calisto, celestina, parmeno, sempronio, old, house, lucrecia"
Comedy,35,0,2541,0.0,35. Roman political power and imperial conflict,Roman political power and imperial conflict,"caesar, cleopatra, antony, state, death, st, caesars, euer"
Comedy,36,0,2541,0.0,36. Chivalric honor and courtly love dynamics,Chivalric honor and courtly love dynamics,"roderigo, cimena, love, sancho, cid, honour, madam, king"
Comedy,38,0,2541,0.0,38. Punic Wars and Roman Imperial Conflict,Punic Wars and Roman Imperial Conflict,"carthage, scipio, syphax, sophonisba, massinissa, hannibal, rome, gods"
Comedy,40,0,2541,0.0,40. Royal family dynamics and political intrigue in Denmark,Royal family dynamics and political intrigue in Denmark,"hamlet, lord, horatio, laertes, mother, king, father, denmarke"
Comedy,42,0,2541,0.0,42. Pastoral love and romantic longing,Pastoral love and romantic longing,"siluia, cloris, thirsis, palaemon, euer, loue, ah, heart"
Comedy,43,0,2541,0.0,43. Roman political and military alliances,Roman political and military alliances,"marius, scilla, rome, frends, scillas, consull, vvhat, cynna"
Comedy,45,0,2541,0.0,45. Familial conflict and tragic love in Verona,Familial conflict and tragic love in Verona,"romeo, tybalt, iuliet, mercutio, night, dead, loue, mountague"
Comedy,48,0,2541,0.0,48. Biblical monarchy and dynastic conflict,Biblical monarchy and dynastic conflict,"israel, dauids, dauid, absalon, vrias, ioab, king, absolon"
Tragedy,1,669,3005,22.2629,1. Cosmological reflections on mortality and existence,Cosmological reflections on mortality and existence,"great, death, minde, gods, earth, world, place, things"
Tragedy,5,393,3005,13.0782,5. Roman republican leadership and virtue,Roman republican leadership and virtue,"rome, brutus, great, men, world, noble, pompey, lucius"
Tragedy,2,220,3005,7.3211,2. Noble courtship and aristocratic relationships,Noble courtship and aristocratic relationships,"duke, antonio, lord, dutchesse, love, court, prince, owne"
Tragedy,11,165,3005,5.4908,11. Classical Greek heroic warfare and mythology,Classical Greek heroic warfare and mythology,"hector, achilles, troy, troylus, aiax, greekes, hectors, paris"
Tragedy,12,160,3005,5.3245,12. Monarchical authority and political conflict in governance,Monarchical authority and political conflict in governance,"feare, kings, power, state, princes, warres, lawes, mordred"
Tragedy,14,142,3005,4.7255,14. Ottoman imperial conflict and conquest,Ottoman imperial conflict and conquest,"tamburlaine, baiazet, mahomet, zenocrate, tamburlain, armes, crowne, turkish"
Tragedy,24,125,3005,4.1597,24. Roman political power and republican governance,Roman political power and republican governance,"senate, caesar, consul, rome, hem, catiline, state, seianvs"
Tragedy,27,109,3005,3.6273,27. Maritime travel and navigation challenges,Maritime travel and navigation challenges,"wyth, dothe, doothe, agayne, hande, seas, styll, lande"
Tragedy,4,106,3005,3.5275,4. English royal and noble power dynamics,English royal and noble power dynamics,"king, lord, yorke, duke, france, henry, england, richard"
Tragedy,15,89,3005,2.9617,15. Mortality and emotional experience in early modern drama,Mortality and emotional experience in early modern drama,"death, dead, life, soule, die, teares, heart, loue"
Tragedy,6,88,3005,2.9285,6. Monarchical power and Anglo-French political relations,Monarchical power and Anglo-French political relations,"king, lord, edward, france, mortimer, gaueston, england, grace"
Tragedy,19,68,3005,2.2629,19. Classical mythology and royal lineage themes,Classical mythology and royal lineage themes,"greece, saturne, hercules, sonne, mother, king, death, sonnes"
Tragedy,35,64,3005,2.1298,35. Roman political power and imperial conflict,Roman political power and imperial conflict,"caesar, cleopatra, antony, state, death, st, caesars, euer"
Tragedy,40,58,3005,1.9301,40. Royal family dynamics and political intrigue in Denmark,Royal family dynamics and political intrigue in Denmark,"hamlet, lord, horatio, laertes, mother, king, father, denmarke"
Tragedy,38,56,3005,1.8636,38. Punic Wars and Roman Imperial Conflict,Punic Wars and Roman Imperial Conflict,"carthage, scipio, syphax, sophonisba, massinissa, hannibal, rome, gods"
Tragedy,43,49,3005,1.6306,43. Roman political and military alliances,Roman political and military alliances,"marius, scilla, rome, frends, scillas, consull, vvhat, cynna"
Tragedy,33,48,3005,1.5973,33. Royal authority and judicial honor in governance,Royal authority and judicial honor in governance,"admirall, king, chabot, chancellor, lord, iudges, honour, owne"
Tragedy,7,46,3005,1.5308,7. Marriage and family relationships in early modern society,Marriage and family relationships in early modern society,"wife, husband, married, marriage, loue, bride, daughter, father"
Tragedy,45,44,3005,1.4642,45. Familial conflict and tragic love in Verona,Familial conflict and tragic love in Verona,"romeo, tybalt, iuliet, mercutio, night, dead, loue, mountague"
Tragedy,20,43,3005,1.4309,20. Sleep and dreams in noble contexts,Sleep and dreams in noble contexts,"sleepe, bed, night, dreame, rest, day, princesse, wake"
Tragedy,22,42,3005,1.3977,22. Themes of love and mortality,Themes of love and mortality,"loue, euer, life, heart, thing, heare, death, feare"
Tragedy,17,29,3005,0.9651,17. Romantic idealization and pastoral love imagery,Romantic idealization and pastoral love imagery,"loue, cynthia, endimion, faire, thoughts, loues, sweete, eyes"
Tragedy,3,23,3005,0.7654,3. Classical mythology and symbolic imagery of love and value,Classical mythology and symbolic imagery of love and value,"venus, loue, cupid, pandora, siluer, gold, hand, great"
Tragedy,9,22,3005,0.7321,9. Romantic and familial relationships,Romantic and familial relationships,"love, maister, lady, woman, sister, loue, madam, heart"
Tragedy,0,19,3005,0.6323,0. Gender roles and social hierarchy in early modern society,Gender roles and social hierarchy in early modern society,"wife, gentlemen, gentleman, pray, woman, time, father, bee"
Tragedy,10,17,3005,0.5657,10. Romantic desire and courtship dynamics,Romantic desire and courtship dynamics,"loue, loues, faire, eyes, siluia, protheus, heart, deare"
Tragedy,21,17,3005,0.5657,21. Early modern theatrical production and dissemination,Early modern theatrical production and dissemination,"stage, play, printed, acted, author, read, london, written"
Tragedy,25,16,3005,0.5324,25. Early modern beverage consumption and health beliefs,Early modern beverage consumption and health beliefs,"wine, beere, ale, drinke, drunke, sugar, health, cup"
Tragedy,44,16,3005,0.5324,44. Theatrical production and performance practices,Theatrical production and performance practices,"shake, stage, workes, liue, booke, went, till, dye"
Tragedy,39,13,3005,0.4326,39. Religious devotion and noble conduct,Religious devotion and noble conduct,"heere, lord, hic, true, wit, life, pray, god"
Tragedy,8,12,3005,0.3993,8. Economic hardship and religious obligation in domestic settings,Economic hardship and religious obligation in domestic settings,"money, pound, poore, pay, master, house, pray, god"
Tragedy,28,11,3005,0.3661,28. Military leadership and social hierarchy in early modern society,Military leadership and social hierarchy in early modern society,"captaine, horse, house, george, maister, pray, master, doctor"
Tragedy,46,10,3005,0.3328,46. Domestic relationships and social obligations,Domestic relationships and social obligations,"wyfe, daye, father, wherfore, praye, woulde, therfore, waye"
Tragedy,23,8,3005,0.2662,23. Aristocratic relationships and loyalty conflicts,Aristocratic relationships and loyalty conflicts,"duke, clarinda, loue, lord, dukes, true, father, anthonio"
Tragedy,41,2,3005,0.0666,41. Social hierarchy and courtly relationships,Social hierarchy and courtly relationships,"lady, madam, gentleman, love, ladies, gentleuman, servant, gentlemen"
Tragedy,47,2,3005,0.0666,47. Early modern social identity and fashion norms,Early modern social identity and fashion norms,"signior, carlo, fashion, gentleman, hem, sogliardo, whiffe, fly"
Tragedy,18,1,3005,0.0333,18. Religious authority and divine law,Religious authority and divine law,"god, lawe, lorde, holy, christ, soch, synne, lawes"
Tragedy,36,1,3005,0.0333,36. Chivalric honor and courtly love dynamics,Chivalric honor and courtly love dynamics,"roderigo, cimena, love, sancho, cid, honour, madam, king"
Tragedy,48,1,3005,0.0333,48. Biblical monarchy and dynastic conflict,Biblical monarchy and dynastic conflict,"israel, dauids, dauid, absalon, vrias, ioab, king, absolon"
Tragedy,49,1,3005,0.0333,49. Rural life and social roles in early modern England,Rural life and social roles in early modern England,"clay, squire, tub, turfe, awdrey, puppy, hun, iohn"
Tragedy,13,0,3005,0.0,13. Civic ceremony and public honor in early modern London,Civic ceremony and public honor in early modern London,"london, maior, worthy, time, honor, yeare, honour, day"
Tragedy,16,0,3005,0.0,16. Divine justice and moral reckoning,Divine justice and moral reckoning,"payne, god, parte, gyue, thynke, eueryman, heuen, ryght"
Tragedy,26,0,3005,0.0,26. Early Modern English modal and epistemic expressions,Early Modern English modal and epistemic expressions,"ys, yt, wyth, thyng, shuld, wold, reason, wyse"
Tragedy,29,0,3005,0.0,29. Social dynamics and manipulation in domestic settings,Social dynamics and manipulation in domestic settings,"melibea, calisto, celestina, parmeno, sempronio, old, house, lucrecia"
Tragedy,30,0,3005,0.0,30. Pastoral romance and courtship dynamics,Pastoral romance and courtship dynamics,"amyntas, phillis, noe, soe, stil, sweete, fro, whoe"
Tragedy,31,0,3005,0.0,31. Religious authority and divine presence in early modern drama,Religious authority and divine presence in early modern drama,"god, iacob, temple, lord, philologus, doo, lorde, gods"
Tragedy,34,0,3005,0.0,34. Social hierarchy and religious figures in early modern drama,Social hierarchy and religious figures in early modern drama,"bacon, margret, lacie, peggie, frier, lord, lacy, fryer"
Tragedy,37,0,3005,0.0,37. Early modern market and trade practices,Early modern market and trade practices,"numps, fayre, numpes, bartholmew, fine, buy, bread, ginger"
